Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Miniature Schnauzer,Utility,,,,12 - 14 yrs.,12 - 14 in.,11 - 20 lbs,80,95,60,60,66,33,33,50,60,25,88,95,40,80,80,80,95,95,63,80,,"Miniature Schnauzer information, facts, and high-quality breed pictures. Learn everything about the Miniature Schnauzer dog breed including temperament, care, and more.","Originally bred in Germany to hunt rats, this breed is athletic, streamlined, and handsome. With its trademark facial hair, some Mini Schnauzer owners enjoy having their dogs professionally groomed – while others learn to do it themselves. This breed is somehow charming and selfish at the same time, and will undoubtedly assert itself as a member of the family. This breed is ideal for a single pet household and older or no children. They can get along with other dogs, however, of lesser or equal size. Minis are very vers..."
Neapolitan Mastiff,Working,,,,6 - 9 yrs.,24 - 31 in.,130 - 155 lbs,60,95,80,40,31,100,0,25,40,50,13,60,100,80,100,40,20,20,21,60,"Excellent guard dog, Loving and loyal, Protective and calm around children of the household, Easy to groom, Doesn't require much exercise, Unforgettable looks, Can live indoors (apartments ok), Yard not necessary","Neapolitan Mastiff information, facts, and high-quality breed pictures. Learn everything about the Neapolitan Mastiff dog breed including temperament, care, and more.","Mastinos have history as war dogs, fighting dogs and guardians. Their origin dates as far back as the time of Alexander the Great, however, the breed's ancestors were fearsome beasts of war as early as 3,000 B.C.! The modern Neapolitan Mastiff flourished in Campania, Italy as personal and estate guardians. The breed is known for quietly creeping up on intruders and handling them appropriately rather than sounding a noisy alarm. Neapolitan Mastiffs will attack if necessary to protect their owner and this can make a poorl..."
Newfoundland,Working,,,,8 - 10 yrs.,25 - 30 in.,100 - 150 lbs,95,95,95,80,83,50,33,50,15,75,13,85,20,85,30,10,20,20,63,70,,"Everything about the Newfoundland dog breed. Discover Newfoundland coloring, sizing, traits, lifespan, and compare Newfoundlands to other dog breeds.",Newfoundlands are intelligent dogs with a strong desire to please their owner. This combined with their work ethic makes the dog easy to train and an ideal companion for any family. Newfoundlands are a giant dog breed. Adults stand 25-29 inches tall from ground to shoulder and weigh between 100-150 pounds. Their size can make it difficult for the breed to live in small environments (such as apartments and condos) and do best in a home with ample space. The breed does best in cooler climates as newfoundlands can overheat...
Norfolk Terrier,Terrier,,,,13 - 18 yrs.,9 - 10 in.,10 - 11 lbs,80,70,75,70,83,83,33,25,100,25,75,60,60,70,90,85,50,30,53,60,"Affectionate, companionable, Hypoallergenic, Easily exercised, Fairly obedient, Good watch dog, Good for flushing small game, Will keep your home free of vermin, Social and even tempered, Good with other dogs, Adaptable to city or country, Apartments ok, No yard necessary","Norfolk Terrier information, facts, and high-quality breed pictures. Learn everything about the Norfolk Terrier dog breed including temperament, care, and more.","The Norfolk is a small sized dog and member of the AKC's Terrier group. They originated in the early 1990s in England and became quite popular for their ratting and flushing skills. This meant they were adaptable to both city and country living. This breed is quite social, affectionate and even-tempered for a terrier while still remaining alert, tenacious and extremely busy. We recommend the breed for most households-- except those with small rodent-like pets. You can browse the following Norfolk Terrier facts to get an..."
Norwegian Buhund,Pastoral,,,,12 - 15 yrs.,16 - 19 in.,31 - 40 lbs,80,76,81,88,68,100,67,75,100,63,88,88,80,83,100,29,50,60,62,80,"Hip dysplasia is common in many breeds and results in reduced mobility., Eye disease is common to the Norwegian Buhund., Von Willebrand's Disease is a blood clotting disorder than can result in severe bleeding-- even from a minor wound.","Norwegian Buhund information, facts, and high-quality breed pictures. Learn everything about the Norwegian Buhund dog breed including temperament, care, and more.","The Norwegian Buhund, also referred to as the Norsk Buhund or Norwegian Sheepdog, is a Spitz-type breed hailing from Norway. Buhund type skeletons have been found in Viking burials dating back as early as 900 A.D. The centuries since have seen them have herding sheep and guarding properties. They are also very friendly family-oriented pets that make perfect companions for active individuals as well as families with children. Norwegian Buhunds have the typical Spitz-type looks typical for cold weather dogs: double coats,..."
Norwegian Elkhound,Hound,,,,12 - 15 yrs.,19 - 20 in.,53 - 57 lbs,80,95,80,80,83,50,67,75,80,63,75,40,90,80,90,80,40,40,84,100,"Fearless, Highly active, Excellent sight, Extremely loyal, Superb hearing, Very people-friendly, Can hear very far away","Norwegian Elkhound information, facts, and high-quality breed pictures. Learn everything about the Norwegian Elkhound dog breed including temperament, care, and more.","The Norwegian Elkhound is an ancient Spitz-type dog from the Scandinavian region. These formerly fearsome hunting dogs are wily, untiring and highly dominant. While they could hunt elk if need be, they were used to hunt moose and other large, dangerous animals. Also, they aren't hounds. Their name comes from the Norwegian term Norsk Elghund. In English, this may sound a bit like Norwegian Elkhound, but in Norwegian, it means ""moose dog."" When it comes to Norwegian Elkhound facts, it is easy to find out if adopting one o..."
Norwich Terrier,Terrier,,,,10 - 15 yrs.,9 - 10 in.,10 - 12 lbs,95,95,95,95,96,33,67,50,80,25,25,80,70,95,90,95,40,40,63,90,"Norwich Cramp, Hip dysplasia, Canine epilepsy, Chronic allergies, Patellar Luxation, Periodontal disease, Respiratory ailments, Neurologic disorders, Mitral Valve disease, Reproductive problems, Bacterial skin infections, Degenerative Myelopathy, Primary lens luxation (PLL), Upper Airway Syndrome (UAS)","Norwich Terrier information, facts, and high-quality breed pictures. Learn everything about the Norwich Terrier dog breed including temperament, care, and more.","This bold little hunting dog is rarely seen outside its cold, windy, and relatively wet home region of northeast England. This is a breed that is fearless to the point of recklessness and is a dog that requires high-maintenance well beyond the five-figure price tag often required to adopt one. The topmost of Norwich Terrier facts is that these dogs were hunters. Granted, they are terriers and they were ratters, too, but this particular breed was singled out and specifically developed for fox-hunting. As they did this su..."
Old English Sheepdog,Pastoral,,,,10 - 11 yrs.,20 - 24 in.,70 - 100 lbs,80,90,80,80,83,33,33,75,80,75,38,60,30,80,80,95,40,40,84,90,,"Old English Sheepdog information, facts, and high-quality breed pictures. Learn everything about the Old English Sheepdog dog breed including temperament, care, and more.","If you see one of these dogs on the street you’re likely to get a faint hint of recognition - Old English Sheepdogs have been featured in many films and television programs including Chitty Chitty Bang Bang and The Little Mermaid. With their highly distinct shaggy coat, these dogs are hard to miss. If you’re planning on adopting one, it is very important to keep in mind that their coat will require more care than the average dog. Some owners spend three or four hours a week brushing and grooming. They also need a modera..."
Otterhound,Hound,,,,10 - 13 yrs.,24 - 27 in.,115 - 115 lbs,95,95,95,95,83,67,67,75,20,50,75,40,20,95,70,20,95,95,84,60,"Bloat is a potential hazard for most medium-large breeds and can be fatal., Glanzmann's Thrombasthenia is a bleeding disorder than can be deadly. Owner's can ask their veterinarian for a DNA test to estimate your Otterhound puppy's likelihood to be affected by this condition., Epilepsy is a growing concern for the breed., Joint problems like hip and elbow dysplasia are sometimes seen and are very common among larger breeds.","Otterhound information, facts, and high-quality breed pictures. Learn everything about the Otterhound dog breed including temperament, care, and more.","The Otterhound is an English breed with the first types appearing as early as the 12th century (before it was considered a breed). The Otterhound Club of America suggests they are a product of the (now extinct) Southern Hound, the Blood Hound, and some wiry, rough coated French breeds. As the name suggests, these dogs were used to hunt otter that were killing and eating the fish from the ponds and streams. They were prized hunting companions of both Kings and the average citizen for centuries. The breed made its way to ..."
Papillon,Toy,,,,12 - 16 yrs.,8 - 11 in.,4 - 9 lbs,80,95,60,80,96,100,67,75,60,13,63,95,10,95,60,95,20,20,100,70,"Easily carried, Beautiful dogs, Elegant attitude, Extremely trainable, Extremely energetic, Low grooming needs, Loves to make new friends, Relatively few health issues","Everything about the Papillon dog breed. Discover Papillon coloring, sizing, traits, lifespan, and compare Papillons to other dog breeds.","Like many other toy dog breeds, papillons think they're much bigger dogs than they really are. The breed is alert and makes a good watchdog and can also rid your home of small vermin. Papillons can be described as a happy intelligent dog breed which are friendly to guests and children. There is no doubt that when you first see one of these dogs in person, the cuteness factor is going to obscure any Papillon facts you may know. While these dogs can be excellent companions, there are many things to consider before you are..."
